experiment_phase	cell_type	cell_passage	analysis_set	compound_first_treatment	batch_reagent_first_treatment	Date	baseline_norm_method	peak_height_normalization_method	peak_height_normalizator_annotation	response_calculation_method_reference_point	compound_second_treatment	batch_reagent_second_treatment	conc_second_treatment	treatment_annotation	min_conc_for_DR_stim_index	max_conc_for_DR_stim_index	nb_points_for_DR_stim_index	items	checking_auc_criteria	DR_stim_index_type	response_calculation_method	response	comments	nb_replicates_not_going_back_to_baseline	max_cv_replicates	mean_cv_replicates	Analog	curve_smoothing
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	auc	28.108646	NA	NA	1.7284748	1.0978557	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	ratio_end_start_delta_over_peak_height	0	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	slope_to_peak	6.3217686e-6	NA	NA	5.4986994	2.7708106	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_at_half_value_peak_height	836.02532	NA	NA	2.3131864e-4	2.3131864e-4	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_at_peak	836.02532	NA	NA	2.3131864e-4	2.3131864e-4	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	time_to_reach_half_peak_height	711.29535	NA	NA	2.718788e-4	2.718788e-4	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_at_half_phase	0.092325462	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_end	0.098524942	NA	NA	316.80763	37.095447	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_end_start_delta	0.097597267	NA	NA	51.895826	7.6468398	XXXX-Nle-L4-13	rolling average of 10 points
first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	CaFlux-L4&L5-20230421	XXXX-Nle-L4-13_Multiplex2023Apr	all banks	2023-04-21	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	baseline	NA	NA	NA	XXXX-Nle-L4-13_Multiplex2023Apr	0.03125	8	27	27	TRUE	auc_log_DR	value_peak_height	0	NA	NA	NA	NA	XXXX-Nle-L4-13	rolling average of 10 points
