Comment	Date	Processing	Marker2	file_name	analysis_set	plate	well	row	column	cell_passage	conc_first_treatment_nm	coumpound_ID	compound_first_treatment	conc_second_treatment	cell_type	compound_second_treatment	batch_reagent_first_treatment	batch_reagent_second_treatment	compound_pre_treatment	conc_pre_treatment	cell_number	comments_assay	batch_reagent_first_treatment_in_aggregate	batch_reagent_second_treatment_in_aggregate	treatment_annotation	Marker1	adjusted_Time	Marker0	adjusted_Marker2	experiment_phase	removal_check	curve_smoothing	baseline_average	baseline_average_raw	min_signal	baseline_norm_method	blank_test	blank_annotation	peak_height_normalizator	peak_height_normalizator_annotation	peak_height_normalization_method
c	2023-04-21	---	0	CaFlux-L4&L5-20230421.c1-1_20230421_384_11_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	c	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	16:03:39	51.36400008201599	348.364000082016	baseline	NA	rolling average of 10 time points	13749.595047101257	13749.595047101257	6483.474651471131	ratio_to_baseline	TRUE	Buffer	2.2028733	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
a	2023-04-21	---	0	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	a	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:40:38	51.36400008201599	348.364000082016	baseline	NA	rolling average of 10 time points	14184.200842275428	14184.200842275428	7188.049007217749	ratio_to_baseline	TRUE	Buffer	2.2417537	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
b	2023-04-21	---	0	CaFlux-L4&L5-20230421.b1-1_20230421_384_9_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	b	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:51:46	51.36400008201599	348.364000082016	baseline	NA	rolling average of 10 time points	14329.079744184535	14329.079744184535	6517.519851733342	ratio_to_baseline	TRUE	Buffer	2.2917154	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
a	2023-04-21	---	0	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	a	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:40:38	51.36400008201599	348.364000082016	first_treatment	NA	rolling average of 10 time points	14184.200842275428	14184.200842275428	7188.049007217749	ratio_to_baseline	TRUE	Buffer	2.2417537	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
b	2023-04-21	---	0	CaFlux-L4&L5-20230421.b1-1_20230421_384_9_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	b	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:51:46	51.36400008201599	348.364000082016	first_treatment	NA	rolling average of 10 time points	14329.079744184535	14329.079744184535	6517.519851733342	ratio_to_baseline	TRUE	Buffer	2.2917154	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
c	2023-04-21	---	0	CaFlux-L4&L5-20230421.c1-1_20230421_384_11_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	c	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	16:03:39	51.36400008201599	348.364000082016	first_treatment	NA	rolling average of 10 time points	13749.595047101257	13749.595047101257	6483.474651471131	ratio_to_baseline	TRUE	Buffer	2.2028733	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
b	2023-04-21	---	0	CaFlux-L4&L5-20230421.b2-1_20230421_384_10_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	b	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:51:46	51.36400008201599	348.364000082016	first_treatment	NA	rolling average of 10 time points	14329.079744184535	14329.079744184535	6517.519851733342	ratio_to_baseline	TRUE	Buffer	2.2917154	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
c	2023-04-21	---	0	CaFlux-L4&L5-20230421.c2-1_20230421_384_12_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	c	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	16:03:39	51.36400008201599	348.364000082016	first_treatment	NA	rolling average of 10 time points	13749.595047101257	13749.595047101257	6483.474651471131	ratio_to_baseline	TRUE	Buffer	2.2028733	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
a	2023-04-21	---	0	CaFlux-L4&L5-20230421.a2-1_20230421_384_8_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	a	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:40:38	51.36400008201599	348.364000082016	first_treatment	NA	rolling average of 10 time points	14184.200842275428	14184.200842275428	7188.049007217749	ratio_to_baseline	TRUE	Buffer	2.2417537	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
b	2023-04-21	---	0	CaFlux-L4&L5-20230421.b2-1_20230421_384_10_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	b	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:51:46	51.36400008201599	348.364000082016	second_treatment	NA	rolling average of 10 time points	14329.079744184535	14329.079744184535	6517.519851733342	ratio_to_baseline	TRUE	Buffer	2.2917154	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
c	2023-04-21	---	0	CaFlux-L4&L5-20230421.c2-1_20230421_384_12_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	c	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	16:03:39	51.36400008201599	348.364000082016	second_treatment	NA	rolling average of 10 time points	13749.595047101257	13749.595047101257	6483.474651471131	ratio_to_baseline	TRUE	Buffer	2.2028733	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
a	2023-04-21	---	0	CaFlux-L4&L5-20230421.a2-1_20230421_384_8_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	a	A01	A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	40000		Buffer	Buffer	Buffer + Buffer	51.36400008201599	15:40:38	51.36400008201599	348.364000082016	second_treatment	NA	rolling average of 10 time points	14184.200842275428	14184.200842275428	7188.049007217749	ratio_to_baseline	TRUE	Buffer	2.2417537	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
c	2023-04-21	---	0	CaFlux-L4&L5-20230421.c1-1_20230421_384_11_Raw_Raw1.TXT	CaFlux-L4&L5-20230421	c	A10	A	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-YYYYY-1P02_Pur-2021Dec	100	CellsX	XXXX-WT-fixed_Pur-2021May	all banks	all banks	NA	NA	40000		Pur-2021Dec	Pur-2021May	XXXX-YYYYY-1P02_Pur-2021Dec + XXXX-WT-fixed_Pur-2021May	51.36400008201599	16:03:39	51.36400008201599	348.364000082016	baseline	NA	rolling average of 10 time points	13906.881003264936	13906.881003264936	6157.175008644284	ratio_to_baseline	FALSE	Buffer	2.2028733	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_ph
