X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	file_name	file_type	analysis_set	plate	injection_of_interest	phase	Data_File_Name	Comment	Date	Time	Processing	Marker1	Marker2
[Assay Protocol]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
Comment	when finished, wait 45 sec before starting 2nd protocol	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
[Plate Information]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
Assay plate	Greiner 384 #781090 w/o lid | without Lid	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
Compound1 plate	Corning 384 #3656 | without Lid	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
Compound2 plate	Corning 384 #3656 | without Lid	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
Compound3 plate	none | without Lid	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
Compound4 plate	none | without Lid	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
[Method]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
Name	Single (Raw1(tn)/Raw1(t0))	Fluo-4	NA	NA	NA	NA	NA	NA	NA	NA	CaFlux-L4&L5-20230421.a1-1_20230421_384_7_Raw_Raw1.TXT	txt	CaFlux-L4&L5-20230421	a	1	1	D:\CCR9\20230421_384_7\20230421_384_7.v3	a	2023-04-21	15:40:38	---	0:00:51.364	0
