time_point	conc_first_treatment_nm	experiment_phase	cell_type	cell_passage	treatment_annotation	compound_first_treatment	compound_second_treatment	compound_pre_treatment	conc_pre_treatment	batch_reagent_first_treatment	batch_reagent_second_treatment	Date	adjusted_Time	baseline_norm_method	peak_height_normalization_method	peak_height_normalizator_annotation	blank_annotation	time_measure_s_offset	delta	sd	mean	cv	n	average_value	max_value	min_value	delta_max_min	delta_max_min_cv
time_at_absolute_max	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	4.282	0.0075451565	0.0023161753	1.0014496	0.0023128226	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	5.994	0.004669637	0.001294784	1.0011543	0.0012932912	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	50.937	0.022764098	0.0060359862	1.0031865	0.0060168136	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	48.797	0.010764602	0.0027495898	1.0013946	0.0027457606	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	32.959	0.010997778	0.0029313258	1.0002791	0.0029305079	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	4.281	0.010655276	0.0036122541	1.0022493	0.0036041473	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	154.888	0.30665289	0.080889999	0.98887702	0.081799857	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	329.668	0.20351563	0.056453142	0.98699937	0.057196736	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	82.611	0.31570708	0.085948899	0.99014559	0.086804304	12	NA	NA	NA	NA	NA
time_at_absolute_max	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	117.888	0.25671172	0.077341072	1.0166283	0.076076057	12	NA	NA	NA	NA	NA
