row	column	cell_passage	conc_first_treatment_nm	coumpound_ID	compound_first_treatment	conc_second_treatment	cell_type	compound_second_treatment	well_removal	batch_reagent_first_treatment	batch_reagent_second_treatment	compound_pre_treatment	conc_pre_treatment	cell_number	comments_assay	well	batch_reagent_first_treatment_in_aggregate	batch_reagent_second_treatment_in_aggregate	treatment_annotation
A	1	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	NA	40000		A1	Buffer	Buffer	Buffer + Buffer
A	2	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-YYYYY-1P02_Pur-2021Dec	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		A2	Pur-2021Dec	Pur-2021May	XXXX-YYYYY-1P02_Pur-2021Dec + XXXX-WT-fixed_Pur-2021May
A	3	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	NA	40000		A3	Buffer	Buffer	Buffer + Buffer
A	4	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-YYYYY-1P02_Pur-2021Dec	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		A4	Pur-2021Dec	Pur-2021May	XXXX-YYYYY-1P02_Pur-2021Dec + XXXX-WT-fixed_Pur-2021May
A	5	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	NA	40000		A5	Buffer	Buffer	Buffer + Buffer
A	6	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-YYYYY-1P02_Pur-2021Dec	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		A6	Pur-2021Dec	Pur-2021May	XXXX-YYYYY-1P02_Pur-2021Dec + XXXX-WT-fixed_Pur-2021May
A	7	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	NA	40000		A7	Buffer	Buffer	Buffer + Buffer
A	8	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-YYYYY-1P02_Pur-2021Dec	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		A8	Pur-2021Dec	Pur-2021May	XXXX-YYYYY-1P02_Pur-2021Dec + XXXX-WT-fixed_Pur-2021May
A	9	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	NA	40000		A9	Buffer	Buffer	Buffer + Buffer
A	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-YYYYY-1P02_Pur-2021Dec	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		A10	Pur-2021Dec	Pur-2021May	XXXX-YYYYY-1P02_Pur-2021Dec + XXXX-WT-fixed_Pur-2021May
A	11	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	NA	40000		A11	Buffer	Buffer	Buffer + Buffer
A	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-YYYYY-1P02_Pur-2021Dec	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		A12	Pur-2021Dec	Pur-2021May	XXXX-YYYYY-1P02_Pur-2021Dec + XXXX-WT-fixed_Pur-2021May
A	13	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	NA	CellsX	Buffer	NA	NA	NA	NA	NA	40000		A13	Buffer	Buffer	Buffer + Buffer
