cell_type	cell_passage	conc_second_treatment	compound_first_treatment	compound_second_treatment	Date	experiment_phase	analysis_set	peak_height_normalization_method	peak_height_normalizator_annotation	baseline_norm_method	blank_annotation	response_calculation_method	response_calculation_method_reference_point	plate1_15:40:38_rep1	plate1_15:40:38_rep10	plate1_15:40:38_rep11	plate1_15:40:38_rep12	plate1_15:40:38_rep13	plate1_15:40:38_rep14	plate1_15:40:38_rep15	plate1_15:40:38_rep16	plate1_15:40:38_rep17	plate1_15:40:38_rep18	plate1_15:40:38_rep19	plate1_15:40:38_rep2	plate1_15:40:38_rep20	plate1_15:40:38_rep21	plate1_15:40:38_rep22	plate1_15:40:38_rep23	plate1_15:40:38_rep24	plate1_15:40:38_rep3	plate1_15:40:38_rep4	plate1_15:40:38_rep5	plate1_15:40:38_rep6	plate1_15:40:38_rep7	plate1_15:40:38_rep8	plate1_15:40:38_rep9	plate2_15:51:46_rep1	plate2_15:51:46_rep10	plate2_15:51:46_rep11	plate2_15:51:46_rep12	plate2_15:51:46_rep13	plate2_15:51:46_rep14	plate2_15:51:46_rep15	plate2_15:51:46_rep16	plate2_15:51:46_rep17	plate2_15:51:46_rep18	plate2_15:51:46_rep19	plate2_15:51:46_rep2	plate2_15:51:46_rep20	plate2_15:51:46_rep21	plate2_15:51:46_rep22	plate2_15:51:46_rep23	plate2_15:51:46_rep24	plate2_15:51:46_rep3	plate2_15:51:46_rep4	plate2_15:51:46_rep5	plate2_15:51:46_rep6	plate2_15:51:46_rep7	plate2_15:51:46_rep8	plate2_15:51:46_rep9	plate3_16:03:39_rep1	plate3_16:03:39_rep10	plate3_16:03:39_rep11	plate3_16:03:39_rep12	plate3_16:03:39_rep13	plate3_16:03:39_rep14	plate3_16:03:39_rep15	plate3_16:03:39_rep16	plate3_16:03:39_rep17	plate3_16:03:39_rep18	plate3_16:03:39_rep19	plate3_16:03:39_rep2	plate3_16:03:39_rep20	plate3_16:03:39_rep21	plate3_16:03:39_rep22	plate3_16:03:39_rep23	plate3_16:03:39_rep24	plate3_16:03:39_rep3	plate3_16:03:39_rep4	plate3_16:03:39_rep5	plate3_16:03:39_rep6	plate3_16:03:39_rep7	plate3_16:03:39_rep8	plate3_16:03:39_rep9	n_replicates	mean_replicates	sd_replicates	median_replicates	cv_replicates	curve_smoothing
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	100	Buffer	XXXX-WT-fixed_Pur-2021May	2023-04-21	second_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	auc	baseline	50.020721	77.181429	67.906257	61.037623	NA	NA	NA	NA	NA	NA	NA	39.079314	NA	NA	NA	NA	NA	33.661615	77.662342	62.820946	42.153839	94.58989	66.310799	66.786268	62.613278	94.42124	71.576685	77.539416	NA	NA	NA	NA	NA	NA	NA	48.382198	NA	NA	NA	NA	NA	32.884993	81.194696	83.138273	63.67959	63.684424	65.396959	50.665821	67.787079	98.2728	92.269686	83.606894	NA	NA	NA	NA	NA	NA	NA	53.785999	NA	NA	NA	NA	NA	31.632628	74.320964	55.875527	48.937385	77.251607	81.166303	56.509224	36	65.43902	17.845896	65.853879	0.27271032	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	Buffer	Buffer	2023-04-21	second_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	auc	baseline	14.208247	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.185687	NA	NA	NA	NA	NA	37.500602	0	4.6910317	6.5040062	NA	NA	NA	2.0530704	2.6527586	4.4313835	NA	NA	NA	NA	NA	NA	NA	NA	0.9431796	NA	NA	NA	NA	NA	9.4265	1.8898497	0.055797798	6.3529687	0	11.659485	9.5749036e-4	12.911312	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1030367	NA	NA	NA	NA	NA	11.268801	0	0.20109122	24.54884	0.63086781	4.4364002	1.0928554	26	6.5672588	8.6479491	4.30853525	1.3168278	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	Buffer	NA	2023-04-21	first_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	auc	baseline	10.470937	1.6423029	33.697596	10.04885	16.365088	22.052907	14.958401	6.8407708	NA	NA	NA	0	NA	NA	NA	NA	NA	50.181893	1.8017231	2.6021224e-5	9.6096528	0.0016910731	0.0010341314	14.572769	2.0442985e-5	0.22828443	4.6827388	0.0019297707	3.5940726e-5	15.230665	17.33443	5.7337609	9.2840546	14.717551	0.021310503	3.6085263e-4	30.921636	10.573611	24.867122	NA	NA	15.211815	0	11.250397	2.1134523e-4	17.125632	0.75393765	0.75205031	7.9758895	0	0.026637336	0.0013019281	5.4306965e-6	4.6688888e-4	9.9279672	18.342009	21.963671	0.70014796	33.722541	1.3323436	27.159814	14.752103	NA	NA	NA	14.808941	0.0014517162	0.0037665367	0.0022203094	41.058174	0.94488683	1.1653346	59	9.5733368	11.747609	5.7337609	1.2271175	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	100	Buffer	XXXX-WT-fixed_Pur-2021May	2023-04-21	second_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	ratio_end_start_delta_over_peak_height	baseline	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0	0	NA	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	Buffer	Buffer	2023-04-21	second_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	ratio_end_start_delta_over_peak_height	baseline	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0	0	NA	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	Buffer	NA	2023-04-21	first_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	ratio_end_start_delta_over_peak_height	baseline	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	0	0	NA	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	100	Buffer	XXXX-WT-fixed_Pur-2021May	2023-04-21	second_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	slope_to_peak	baseline	2.0002235e-4	-4.019729e-4	-2.3663363e-4	-2.6015477e-4	NA	NA	NA	NA	NA	NA	NA	3.7103634e-4	NA	NA	NA	NA	NA	3.2459614e-4	-2.5559934e-4	7.4706686e-6	2.6384527e-4	-5.6365769e-4	-5.9713123e-5	-2.3428458e-4	-2.060424e-4	-0.00061185632000000005	-3.8407206e-4	-4.7836066e-4	NA	NA	NA	NA	NA	NA	NA	1.8274628e-4	NA	NA	NA	NA	NA	4.4284995e-4	-3.606887e-4	-4.4252468e-4	-1.5114391e-4	-4.4897777e-5	-1.976463e-4	-4.2761151e-8	-1.6851998e-5	-4.8067549e-4	-4.2240933e-4	-7.3955691e-4	NA	NA	NA	NA	NA	NA	NA	2.1058619e-4	NA	NA	NA	NA	NA	4.2639017e-4	-1.398886e-4	2.5793983e-4	1.4442435e-4	-3.4507845e-4	-3.3944571e-4	-2.7333483e-5	36	-1.2690622e-4	3.1337207e-4	-1.74395105e-4	2.46932	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	Buffer	Buffer	2023-04-21	second_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	slope_to_peak	baseline	-3.7894998e-4	1.8871952e-4	8.677568e-5	2.8523494e-4	NA	NA	NA	NA	NA	NA	NA	1.6736911e-4	NA	NA	NA	NA	NA	-0.0010188848	2.762785e-4	3.2166097e-4	-2.5024523e-5	2.1598241e-4	-1.9439073e-4	7.5228889e-5	-4.7185638e-6	-1.0808855e-4	-1.6356492e-4	4.8131319e-4	NA	NA	NA	NA	NA	NA	NA	8.9111791e-5	NA	NA	NA	NA	NA	-5.273536e-4	2.9201236e-4	3.5885028e-4	-1.8686735e-4	2.0114288e-4	-4.3900869e-4	7.1711862e-6	-3.8147041e-4	2.1188958e-4	3.5887147e-4	2.0877019e-4	NA	NA	NA	NA	NA	NA	NA	-7.7036921e-5	NA	NA	NA	NA	NA	-3.9776159e-4	4.2163237e-4	3.4905986e-4	2.4163269e-4	-8.750994e-4	5.250027e-6	-6.5737871e-5	36	-1.5555555e-13	3.5043729e-4	8.10022845e-5	2252811200	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	Buffer	NA	2023-04-21	first_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	slope_to_peak	baseline	-9.0585937e-7	2.1713881e-6	7.6670078e-6	1.1717596e-5	-8.1240241e-6	7.7590098e-6	-7.8096749e-6	-1.2804163e-6	4.3622111e-6	7.9446092e-7	-6.9461037e-6	9.5220143e-6	-6.7775093e-6	-4.0892215e-6	-6.7874917e-6	-7.0779672e-6	-3.0273334e-5	-6.4401344e-7	7.0332617e-6	3.8777803e-6	1.1647751e-5	2.0804744e-6	5.4442918e-6	6.6383675e-6	1.0267437e-6	6.4179306e-6	7.3209113e-6	4.3758893e-6	-6.4164096e-6	2.5628639e-6	-1.4659327e-6	-1.1440076e-6	9.9008801e-6	-3.7828825e-6	-8.2601697e-6	-2.9443189e-6	-8.3851768e-6	-3.4567894e-6	-7.5310327e-6	-8.8587605e-6	-8.6618435e-6	2.3344445e-6	6.1148957e-6	1.0763081e-5	6.0200113e-6	-1.5261673e-6	5.2560874e-6	3.3975249e-7	2.2554447e-6	1.2694617e-6	-1.25496e-6	-4.8286886e-6	5.3030257e-7	-2.9172441e-6	1.4459525e-5	2.3264329e-5	9.9755348e-6	1.1213556e-5	2.4126825e-5	-8.7746681e-6	1.6529744e-5	3.9037408e-6	1.8849393e-5	1.6700752e-5	-9.2855607e-6	-7.2922063e-6	-8.397262e-6	-1.3512377e-5	-9.4520099e-6	-7.7213598e-5	2.5769426e-6	-2.7269762e-6	72	-5.9722223e-15	1.290891e-5	6.62381745e-7	2161491900	rolling average of 10 points
CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	100	Buffer	XXXX-WT-fixed_Pur-2021May	2023-04-21	second_treatment	CaFlux-L4&L5-20230421	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	ratio_to_baseline	Buffer	time_at_half_value_peak_height	baseline	537.385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	532.389	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	535.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	535.06133	2.5161837	535.41	0.004702608	rolling average of 10 points
